  R-R p0_e0:p0_e0-eth4  Δtx=20798 B  Δrx=21446 B
  R-R p0_a4:p0_a4-eth0  Δtx=21446 B  Δrx=20798 B
  R-R p0_e0:p0_e0-eth5  Δtx=25040949 B  Δrx=8344119 B
  R-R p0_a5:p0_a5-eth0  Δtx=8344119 B  Δrx=25040949 B
  R-R p0_e0:p0_e0-eth6  Δtx=8345023 B  Δrx=96 B
  R-R p0_a6:p0_a6-eth0  Δtx=96 B  Δrx=8345023 B
  R-R p0_e0:p0_e0-eth7  Δtx=68110 B  Δrx=25111771 B
  R-R p0_a7:p0_a7-eth0  Δtx=25111771 B  Δrx=68110 B
  R-R p0_e1:p0_e1-eth4  Δtx=41316 B  Δrx=41494 B
  R-R p0_a4:p0_a4-eth1  Δtx=41494 B  Δrx=41316 B
  R-R p0_e1:p0_e1-eth5  Δtx=17272 B  Δrx=18506 B
  R-R p0_a5:p0_a5-eth1  Δtx=18506 B  Δrx=17272 B
  R-R p0_e1:p0_e1-eth6  Δtx=16684018 B  Δrx=25032093 B
  R-R p0_a6:p0_a6-eth1  Δtx=25032093 B  Δrx=16684018 B
  R-R p0_e1:p0_e1-eth7  Δtx=16708450 B  Δrx=8359955 B
  R-R p0_a7:p0_a7-eth1  Δtx=8359955 B  Δrx=16708450 B
  R-R p0_e2:p0_e2-eth4  Δtx=8343431 B  Δrx=25037537 B
  R-R p0_a4:p0_a4-eth2  Δtx=25037537 B  Δrx=8343431 B
  R-R p0_e2:p0_e2-eth5  Δtx=8361049 B  Δrx=18402 B
  R-R p0_a5:p0_a5-eth2  Δtx=18402 B  Δrx=8361049 B
  R-R p0_e2:p0_e2-eth6  Δtx=16731412 B  Δrx=246 B
  R-R p0_a6:p0_a6-eth2  Δtx=246 B  Δrx=16731412 B
  R-R p0_e2:p0_e2-eth7  Δtx=17474 B  Δrx=8396237 B
  R-R p0_a7:p0_a7-eth2  Δtx=8396237 B  Δrx=17474 B
  R-R p0_e3:p0_e3-eth4  Δtx=16720614 B  Δrx=8342527 B
  R-R p0_a4:p0_a4-eth3  Δtx=8342527 B  Δrx=16720614 B
  R-R p0_e3:p0_e3-eth5  Δtx=8343525 B  Δrx=38656 B
  R-R p0_a5:p0_a5-eth3  Δtx=38656 B  Δrx=8343525 B
  R-R p0_e3:p0_e3-eth6  Δtx=38164 B  Δrx=8360607 B
  R-R p0_a6:p0_a6-eth3  Δtx=8360607 B  Δrx=38164 B
  R-R p0_e3:p0_e3-eth7  Δtx=8342383 B  Δrx=16704210 B
  R-R p0_a7:p0_a7-eth3  Δtx=16704210 B  Δrx=8342383 B
  R-R p1_e0:p1_e0-eth4  Δtx=25058783 B  Δrx=192 B
  R-R p1_a4:p1_a4-eth0  Δtx=192 B  Δrx=25058783 B
  R-R p1_e0:p1_e0-eth5  Δtx=8340613 B  Δrx=25057919 B
  R-R p1_a5:p1_a5-eth0  Δtx=25057919 B  Δrx=8340613 B
  R-R p1_e0:p1_e0-eth6  Δtx=170 B  Δrx=8367351 B
  R-R p1_a6:p1_a6-eth0  Δtx=8367351 B  Δrx=170 B
  R-R p1_e0:p1_e0-eth7  Δtx=70034 B  Δrx=42272 B
  R-R p1_a7:p1_a7-eth0  Δtx=42272 B  Δrx=70034 B
  R-R p1_e1:p1_e1-eth4  Δtx=8391149 B  Δrx=44406 B
  R-R p1_a4:p1_a4-eth1  Δtx=44406 B  Δrx=8391149 B
  R-R p1_e1:p1_e1-eth5  Δtx=8362191 B  Δrx=170 B
  R-R p1_a5:p1_a5-eth1  Δtx=170 B  Δrx=8362191 B
  R-R p1_e1:p1_e1-eth6  Δtx=244 B  Δrx=16683964 B
  R-R p1_a6:p1_a6-eth1  Δtx=16683964 B  Δrx=244 B
  R-R p1_e1:p1_e1-eth7  Δtx=16703736 B  Δrx=16725234 B
  R-R p1_a7:p1_a7-eth1  Δtx=16725234 B  Δrx=16703736 B
  R-R p1_e2:p1_e2-eth4  Δtx=16684616 B  Δrx=8343377 B
  R-R p1_a4:p1_a4-eth2  Δtx=8343377 B  Δrx=16684616 B
  R-R p1_e2:p1_e2-eth5  Δtx=18328 B  Δrx=8379879 B
  R-R p1_a5:p1_a5-eth2  Δtx=8379879 B  Δrx=18328 B
  R-R p1_e2:p1_e2-eth6  Δtx=8347297 B  Δrx=16723936 B
  R-R p1_a6:p1_a6-eth2  Δtx=16723936 B  Δrx=8347297 B
  R-R p1_e2:p1_e2-eth7  Δtx=8394867 B  Δrx=42 B
  R-R p1_a7:p1_a7-eth2  Δtx=42 B  Δrx=8394867 B
  R-R p1_e3:p1_e3-eth4  Δtx=8342329 B  Δrx=16723704 B
  R-R p1_a4:p1_a4-eth3  Δtx=16723704 B  Δrx=8342329 B
  R-R p1_e3:p1_e3-eth5  Δtx=25067295 B  Δrx=8343525 B
  R-R p1_a5:p1_a5-eth3  Δtx=8343525 B  Δrx=25067295 B
  R-R p1_e3:p1_e3-eth6  Δtx=18968 B  Δrx=19190 B
  R-R p1_a6:p1_a6-eth3  Δtx=19190 B  Δrx=18968 B
  R-R p1_e3:p1_e3-eth7  Δtx=18770 B  Δrx=8360685 B
  R-R p1_a7:p1_a7-eth3  Δtx=8360685 B  Δrx=18770 B
  R-R p2_e0:p2_e0-eth4  Δtx=8353513 B  Δrx=25067309 B
  R-R p2_a4:p2_a4-eth0  Δtx=25067309 B  Δrx=8353513 B
  R-R p2_e0:p2_e0-eth5  Δtx=8370639 B  Δrx=8363193 B
  R-R p2_a5:p2_a5-eth0  Δtx=8363193 B  Δrx=8370639 B
  R-R p2_e0:p2_e0-eth6  Δtx=22614 B  Δrx=158 B
  R-R p2_a6:p2_a6-eth0  Δtx=158 B  Δrx=22614 B
  R-R p2_e0:p2_e0-eth7  Δtx=16740406 B  Δrx=56772 B
  R-R p2_a7:p2_a7-eth0  Δtx=56772 B  Δrx=16740406 B
  R-R p2_e1:p2_e1-eth4  Δtx=8386585 B  Δrx=8388239 B
  R-R p2_a4:p2_a4-eth1  Δtx=8388239 B  Δrx=8386585 B
  R-R p2_e1:p2_e1-eth5  Δtx=8342973 B  Δrx=8362047 B
  R-R p2_a5:p2_a5-eth1  Δtx=8362047 B  Δrx=8342973 B
  R-R p2_e1:p2_e1-eth6  Δtx=158 B  Δrx=286 B
  R-R p2_a6:p2_a6-eth1  Δtx=286 B  Δrx=158 B
  R-R p2_e1:p2_e1-eth7  Δtx=16723598 B  Δrx=16704000 B
  R-R p2_a7:p2_a7-eth1  Δtx=16704000 B  Δrx=16723598 B
  R-R p2_e2:p2_e2-eth4  Δtx=244 B  Δrx=16703686 B
  R-R p2_a4:p2_a4-eth2  Δtx=16703686 B  Δrx=244 B
  R-R p2_e2:p2_e2-eth5  Δtx=16721520 B  Δrx=18010 B
  R-R p2_a5:p2_a5-eth2  Δtx=18010 B  Δrx=16721520 B
  R-R p2_e2:p2_e2-eth6  Δtx=8380975 B  Δrx=8364753 B
  R-R p2_a6:p2_a6-eth2  Δtx=8364753 B  Δrx=8380975 B
  R-R p2_e2:p2_e2-eth7  Δtx=8341743 B  Δrx=8361197 B
  R-R p2_a7:p2_a7-eth2  Δtx=8361197 B  Δrx=8341743 B
  R-R p2_e3:p2_e3-eth4  Δtx=8382593 B  Δrx=8362017 B
  R-R p2_a4:p2_a4-eth3  Δtx=8362017 B  Δrx=8382593 B
  R-R p2_e3:p2_e3-eth5  Δtx=16686860 B  Δrx=25068561 B
