  R-R p0_e0:p0_e0-eth4  Δtx=224811 B  Δrx=231835 B
  R-R p0_a4:p0_a4-eth0  Δtx=231835 B  Δrx=224811 B
  R-R p0_e0:p0_e0-eth5  Δtx=0 B  Δrx=437738 B
  R-R p0_a5:p0_a5-eth0  Δtx=437738 B  Δrx=0 B
  R-R p0_e0:p0_e0-eth6  Δtx=190 B  Δrx=96 B
  R-R p0_a6:p0_a6-eth0  Δtx=96 B  Δrx=190 B
  R-R p0_e0:p0_e0-eth7  Δtx=674639 B  Δrx=231901 B
  R-R p0_a7:p0_a7-eth0  Δtx=231901 B  Δrx=674639 B
  R-R p0_e1:p0_e1-eth4  Δtx=5446 B  Δrx=220097 B
  R-R p0_a4:p0_a4-eth1  Δtx=220097 B  Δrx=5446 B
  R-R p0_e1:p0_e1-eth5  Δtx=434064 B  Δrx=227279 B
  R-R p0_a5:p0_a5-eth1  Δtx=227279 B  Δrx=434064 B
  R-R p0_e1:p0_e1-eth6  Δtx=219235 B  Δrx=298 B
  R-R p0_a6:p0_a6-eth1  Δtx=298 B  Δrx=219235 B
  R-R p0_e1:p0_e1-eth7  Δtx=226919 B  Δrx=437198 B
  R-R p0_a7:p0_a7-eth1  Δtx=437198 B  Δrx=226919 B
  R-R p0_e2:p0_e2-eth4  Δtx=214995 B  Δrx=222921 B
  R-R p0_a4:p0_a4-eth2  Δtx=222921 B  Δrx=214995 B
  R-R p0_e2:p0_e2-eth5  Δtx=443790 B  Δrx=220699 B
  R-R p0_a5:p0_a5-eth2  Δtx=220699 B  Δrx=443790 B
  R-R p0_e2:p0_e2-eth6  Δtx=7982 B  Δrx=222341 B
  R-R p0_a6:p0_a6-eth2  Δtx=222341 B  Δrx=7982 B
  R-R p0_e2:p0_e2-eth7  Δtx=222333 B  Δrx=222287 B
  R-R p0_a7:p0_a7-eth2  Δtx=222287 B  Δrx=222333 B
  R-R p0_e3:p0_e3-eth4  Δtx=220101 B  Δrx=96 B
  R-R p0_a4:p0_a4-eth3  Δtx=96 B  Δrx=220101 B
  R-R p0_e3:p0_e3-eth5  Δtx=214537 B  Δrx=451904 B
  R-R p0_a5:p0_a5-eth3  Δtx=451904 B  Δrx=214537 B
  R-R p0_e3:p0_e3-eth6  Δtx=445368 B  Δrx=213547 B
  R-R p0_a6:p0_a6-eth3  Δtx=213547 B  Δrx=445368 B
  R-R p0_e3:p0_e3-eth7  Δtx=8614 B  Δrx=224673 B
  R-R p0_a7:p0_a7-eth3  Δtx=224673 B  Δrx=8614 B
  R-R p1_e0:p1_e0-eth4  Δtx=451672 B  Δrx=224961 B
  R-R p1_a4:p1_a4-eth0  Δtx=224961 B  Δrx=451672 B
  R-R p1_e0:p1_e0-eth5  Δtx=436156 B  Δrx=7784 B
  R-R p1_a5:p1_a5-eth0  Δtx=7784 B  Δrx=436156 B
  R-R p1_e0:p1_e0-eth6  Δtx=138 B  Δrx=7050 B
  R-R p1_a6:p1_a6-eth0  Δtx=7050 B  Δrx=138 B
  R-R p1_e0:p1_e0-eth7  Δtx=13018 B  Δrx=662959 B
  R-R p1_a7:p1_a7-eth0  Δtx=662959 B  Δrx=13018 B
  R-R p1_e1:p1_e1-eth4  Δtx=220789 B  Δrx=116 B
  R-R p1_a4:p1_a4-eth1  Δtx=116 B  Δrx=220789 B
  R-R p1_e1:p1_e1-eth5  Δtx=443894 B  Δrx=433944 B
  R-R p1_a5:p1_a5-eth1  Δtx=433944 B  Δrx=443894 B
  R-R p1_e1:p1_e1-eth6  Δtx=192 B  Δrx=223863 B
  R-R p1_a6:p1_a6-eth1  Δtx=223863 B  Δrx=192 B
  R-R p1_e1:p1_e1-eth7  Δtx=223529 B  Δrx=226535 B
  R-R p1_a7:p1_a7-eth1  Δtx=226535 B  Δrx=223529 B
  R-R p1_e2:p1_e2-eth4  Δtx=6766 B  Δrx=221195 B
  R-R p1_a4:p1_a4-eth2  Δtx=221195 B  Δrx=6766 B
  R-R p1_e2:p1_e2-eth5  Δtx=220823 B  Δrx=437188 B
  R-R p1_a5:p1_a5-eth2  Δtx=437188 B  Δrx=220823 B
  R-R p1_e2:p1_e2-eth6  Δtx=434230 B  Δrx=6152 B
  R-R p1_a6:p1_a6-eth2  Δtx=6152 B  Δrx=434230 B
  R-R p1_e2:p1_e2-eth7  Δtx=223417 B  Δrx=222465 B
  R-R p1_a7:p1_a7-eth2  Δtx=222465 B  Δrx=223417 B
  R-R p1_e3:p1_e3-eth4  Δtx=434366 B  Δrx=228095 B
  R-R p1_a4:p1_a4-eth3  Δtx=228095 B  Δrx=434366 B
  R-R p1_e3:p1_e3-eth5  Δtx=17898 B  Δrx=221937 B
  R-R p1_a5:p1_a5-eth3  Δtx=221937 B  Δrx=17898 B
  R-R p1_e3:p1_e3-eth6  Δtx=213205 B  Δrx=434396 B
  R-R p1_a6:p1_a6-eth3  Δtx=434396 B  Δrx=213205 B
  R-R p1_e3:p1_e3-eth7  Δtx=224111 B  Δrx=5932 B
  R-R p1_a7:p1_a7-eth3  Δtx=5932 B  Δrx=224111 B
  R-R p2_e0:p2_e0-eth4  Δtx=225629 B  Δrx=437826 B
  R-R p2_a4:p2_a4-eth0  Δtx=437826 B  Δrx=225629 B
  R-R p2_e0:p2_e0-eth5  Δtx=7900 B  Δrx=458776 B
  R-R p2_a5:p2_a5-eth0  Δtx=458776 B  Δrx=7900 B
  R-R p2_e0:p2_e0-eth6  Δtx=444826 B  Δrx=192 B
  R-R p2_a6:p2_a6-eth0  Δtx=192 B  Δrx=444826 B
  R-R p2_e0:p2_e0-eth7  Δtx=225761 B  Δrx=7244 B
  R-R p2_a7:p2_a7-eth0  Δtx=7244 B  Δrx=225761 B
  R-R p2_e1:p2_e1-eth4  Δtx=214009 B  Δrx=214037 B
  R-R p2_a4:p2_a4-eth1  Δtx=214037 B  Δrx=214009 B
  R-R p2_e1:p2_e1-eth5  Δtx=438696 B  Δrx=441806 B
  R-R p2_a5:p2_a5-eth1  Δtx=441806 B  Δrx=438696 B
  R-R p2_e1:p2_e1-eth6  Δtx=219829 B  Δrx=5372 B
  R-R p2_a6:p2_a6-eth1  Δtx=5372 B  Δrx=219829 B
  R-R p2_e1:p2_e1-eth7  Δtx=13096 B  Δrx=224981 B
  R-R p2_a7:p2_a7-eth1  Δtx=224981 B  Δrx=13096 B
  R-R p2_e2:p2_e2-eth4  Δtx=654565 B  Δrx=5668 B
  R-R p2_a4:p2_a4-eth2  Δtx=5668 B  Δrx=654565 B
  R-R p2_e2:p2_e2-eth5  Δtx=5822 B  Δrx=215667 B
  R-R p2_a5:p2_a5-eth2  Δtx=215667 B  Δrx=5822 B
  R-R p2_e2:p2_e2-eth6  Δtx=6110 B  Δrx=441786 B
