  R-R p0_e0:p0_e0-eth4  Δtx=2112737 B  Δrx=2099501 B
  R-R p0_a4:p0_a4-eth0  Δtx=2099501 B  Δrx=2112737 B
  R-R p0_e0:p0_e0-eth5  Δtx=4220056 B  Δrx=2139025 B
  R-R p0_a5:p0_a5-eth0  Δtx=2139025 B  Δrx=4220056 B
  R-R p0_e0:p0_e0-eth6  Δtx=14020 B  Δrx=2110195 B
  R-R p0_a6:p0_a6-eth0  Δtx=2110195 B  Δrx=14020 B
  R-R p0_e0:p0_e0-eth7  Δtx=2096895 B  Δrx=2097585 B
  R-R p0_a7:p0_a7-eth0  Δtx=2097585 B  Δrx=2096895 B
  R-R p0_e1:p0_e1-eth4  Δtx=14050 B  Δrx=4219250 B
  R-R p0_a4:p0_a4-eth1  Δtx=4219250 B  Δrx=14050 B
  R-R p0_e1:p0_e1-eth5  Δtx=13110 B  Δrx=28802 B
  R-R p0_a5:p0_a5-eth1  Δtx=28802 B  Δrx=13110 B
  R-R p0_e1:p0_e1-eth6  Δtx=4192842 B  Δrx=2096131 B
  R-R p0_a6:p0_a6-eth1  Δtx=2096131 B  Δrx=4192842 B
  R-R p0_e1:p0_e1-eth7  Δtx=4221774 B  Δrx=2096687 B
  R-R p0_a7:p0_a7-eth1  Δtx=2096687 B  Δrx=4221774 B
  R-R p0_e2:p0_e2-eth4  Δtx=48554 B  Δrx=2094423 B
  R-R p0_a4:p0_a4-eth2  Δtx=2094423 B  Δrx=48554 B
  R-R p0_e2:p0_e2-eth5  Δtx=116 B  Δrx=2135041 B
  R-R p0_a5:p0_a5-eth2  Δtx=2135041 B  Δrx=116 B
  R-R p0_e2:p0_e2-eth6  Δtx=2095069 B  Δrx=4203250 B
  R-R p0_a6:p0_a6-eth2  Δtx=4203250 B  Δrx=2095069 B
  R-R p0_e2:p0_e2-eth7  Δtx=6285589 B  Δrx=320 B
  R-R p0_a7:p0_a7-eth2  Δtx=320 B  Δrx=6285589 B
  R-R p0_e3:p0_e3-eth4  Δtx=23406 B  Δrx=4194132 B
  R-R p0_a4:p0_a4-eth3  Δtx=4194132 B  Δrx=23406 B
  R-R p0_e3:p0_e3-eth5  Δtx=4188652 B  Δrx=2107883 B
  R-R p0_a5:p0_a5-eth3  Δtx=2107883 B  Δrx=4188652 B
  R-R p0_e3:p0_e3-eth6  Δtx=29020 B  Δrx=12124 B
  R-R p0_a6:p0_a6-eth3  Δtx=12124 B  Δrx=29020 B
  R-R p0_e3:p0_e3-eth7  Δtx=4193548 B  Δrx=2120765 B
  R-R p0_a7:p0_a7-eth3  Δtx=2120765 B  Δrx=4193548 B
  R-R p1_e0:p1_e0-eth4  Δtx=2096041 B  Δrx=2097855 B
  R-R p1_a4:p1_a4-eth0  Δtx=2097855 B  Δrx=2096041 B
  R-R p1_e0:p1_e0-eth5  Δtx=2137891 B  Δrx=4204466 B
  R-R p1_a5:p1_a5-eth0  Δtx=4204466 B  Δrx=2137891 B
  R-R p1_e0:p1_e0-eth6  Δtx=2111203 B  Δrx=28158 B
  R-R p1_a6:p1_a6-eth0  Δtx=28158 B  Δrx=2111203 B
  R-R p1_e0:p1_e0-eth7  Δtx=2094423 B  Δrx=2110091 B
  R-R p1_a7:p1_a7-eth0  Δtx=2110091 B  Δrx=2094423 B
  R-R p1_e1:p1_e1-eth4  Δtx=2122361 B  Δrx=40886 B
  R-R p1_a4:p1_a4-eth1  Δtx=40886 B  Δrx=2122361 B
  R-R p1_e1:p1_e1-eth5  Δtx=2125939 B  Δrx=286 B
  R-R p1_a5:p1_a5-eth1  Δtx=286 B  Δrx=2125939 B
  R-R p1_e1:p1_e1-eth6  Δtx=2097121 B  Δrx=4192896 B
  R-R p1_a6:p1_a6-eth1  Δtx=4192896 B  Δrx=2097121 B
  R-R p1_e1:p1_e1-eth7  Δtx=2095223 B  Δrx=4206970 B
  R-R p1_a7:p1_a7-eth1  Δtx=4206970 B  Δrx=2095223 B
  R-R p1_e2:p1_e2-eth4  Δtx=4192242 B  Δrx=42 B
  R-R p1_a4:p1_a4-eth2  Δtx=42 B  Δrx=4192242 B
  R-R p1_e2:p1_e2-eth5  Δtx=36386 B  Δrx=158 B
  R-R p1_a5:p1_a5-eth2  Δtx=158 B  Δrx=36386 B
  R-R p1_e2:p1_e2-eth6  Δtx=2107161 B  Δrx=2108805 B
  R-R p1_a6:p1_a6-eth2  Δtx=2108805 B  Δrx=2107161 B
  R-R p1_e2:p1_e2-eth7  Δtx=2096317 B  Δrx=6324313 B
  R-R p1_a7:p1_a7-eth2  Δtx=6324313 B  Δrx=2096317 B
  R-R p1_e3:p1_e3-eth4  Δtx=158 B  Δrx=14080 B
  R-R p1_a4:p1_a4-eth3  Δtx=14080 B  Δrx=158 B
  R-R p1_e3:p1_e3-eth5  Δtx=2111373 B  Δrx=4188598 B
  R-R p1_a5:p1_a5-eth3  Δtx=4188598 B  Δrx=2111373 B
  R-R p1_e3:p1_e3-eth6  Δtx=2105585 B  Δrx=9992 B
  R-R p1_a6:p1_a6-eth3  Δtx=9992 B  Δrx=2105585 B
  R-R p1_e3:p1_e3-eth7  Δtx=4214918 B  Δrx=4219700 B
  R-R p1_a7:p1_a7-eth3  Δtx=4219700 B  Δrx=4214918 B
  R-R p2_e0:p2_e0-eth4  Δtx=2097421 B  Δrx=2108733 B
  R-R p2_a4:p2_a4-eth0  Δtx=2108733 B  Δrx=2097421 B
  R-R p2_e0:p2_e0-eth5  Δtx=12046 B  Δrx=2110635 B
  R-R p2_a5:p2_a5-eth0  Δtx=2110635 B  Δrx=12046 B
  R-R p2_e0:p2_e0-eth6  Δtx=2123207 B  Δrx=2123709 B
  R-R p2_a6:p2_a6-eth0  Δtx=2123709 B  Δrx=2123207 B
  R-R p2_e0:p2_e0-eth7  Δtx=4204210 B  Δrx=2094477 B
  R-R p2_a7:p2_a7-eth0  Δtx=2094477 B  Δrx=4204210 B
  R-R p2_e1:p2_e1-eth4  Δtx=2136711 B  Δrx=2132587 B
  R-R p2_a4:p2_a4-eth1  Δtx=2132587 B  Δrx=2136711 B
  R-R p2_e1:p2_e1-eth5  Δtx=138 B  Δrx=2097369 B
  R-R p2_a5:p2_a5-eth1  Δtx=2097369 B  Δrx=138 B
  R-R p2_e1:p2_e1-eth6  Δtx=2097565 B  Δrx=2110989 B
  R-R p2_a6:p2_a6-eth1  Δtx=2110989 B  Δrx=2097565 B
  R-R p2_e1:p2_e1-eth7  Δtx=4203980 B  Δrx=2095277 B
  R-R p2_a7:p2_a7-eth1  Δtx=2095277 B  Δrx=4203980 B
  R-R p2_e2:p2_e2-eth4  Δtx=2094245 B  Δrx=4203788 B
  R-R p2_a4:p2_a4-eth2  Δtx=4203788 B  Δrx=2094245 B
  R-R p2_e2:p2_e2-eth5  Δtx=2096469 B  Δrx=27354 B
  R-R p2_a5:p2_a5-eth2  Δtx=27354 B  Δrx=2096469 B
  R-R p2_e2:p2_e2-eth6  Δtx=2109899 B  Δrx=2107833 B
  R-R p2_a6:p2_a6-eth2  Δtx=2107833 B  Δrx=2109899 B
  R-R p2_e2:p2_e2-eth7  Δtx=2135189 B  Δrx=2096209 B
  R-R p2_a7:p2_a7-eth2  Δtx=2096209 B  Δrx=2135189 B
  R-R p2_e3:p2_e3-eth4  Δtx=14006 B  Δrx=212 B
  R-R p2_a4:p2_a4-eth3  Δtx=212 B  Δrx=14006 B
  R-R p2_e3:p2_e3-eth5  Δtx=6289735 B  Δrx=2097055 B
  R-R p2_a5:p2_a5-eth3  Δtx=2097055 B  Δrx=6289735 B
  R-R p2_e3:p2_e3-eth6  Δtx=2102219 B  Δrx=2130585 B
  R-R p2_a6:p2_a6-eth3  Δtx=2130585 B  Δrx=2102219 B
  R-R p2_e3:p2_e3-eth7  Δtx=26236 B  Δrx=4201698 B
  R-R p2_a7:p2_a7-eth3  Δtx=4201698 B  Δrx=26236 B
  R-R p3_e0:p3_e0-eth4  Δtx=2109619 B  Δrx=2097475 B
  R-R p3_a4:p3_a4-eth0  Δtx=2097475 B  Δrx=2109619 B
  R-R p3_e0:p3_e0-eth5  Δtx=2110585 B  Δrx=212 B
  R-R p3_a5:p3_a5-eth0  Δtx=212 B  Δrx=2110585 B
  R-R p3_e0:p3_e0-eth6  Δtx=2122237 B  Δrx=2135569 B
  R-R p3_a6:p3_a6-eth0  Δtx=2135569 B  Δrx=2122237 B
  R-R p3_e0:p3_e0-eth7  Δtx=2095261 B  Δrx=4204540 B
  R-R p3_a7:p3_a7-eth0  Δtx=4204540 B  Δrx=2095261 B
  R-R p3_e1:p3_e1-eth4  Δtx=2133181 B  Δrx=2106893 B
  R-R p3_a4:p3_a4-eth1  Δtx=2106893 B  Δrx=2133181 B
  R-R p3_e1:p3_e1-eth5  Δtx=42 B  Δrx=96 B
  R-R p3_a5:p3_a5-eth1  Δtx=96 B  Δrx=42 B
  R-R p3_e1:p3_e1-eth6  Δtx=2109487 B  Δrx=2123783 B
  R-R p3_a6:p3_a6-eth1  Δtx=2123783 B  Δrx=2109487 B
  R-R p3_e1:p3_e1-eth7  Δtx=4189584 B  Δrx=4202738 B
  R-R p3_a7:p3_a7-eth1  Δtx=4202738 B  Δrx=4189584 B
  R-R p3_e2:p3_e2-eth4  Δtx=11588 B  Δrx=2106925 B
  R-R p3_a4:p3_a4-eth2  Δtx=2106925 B  Δrx=11588 B
  R-R p3_e2:p3_e2-eth5  Δtx=2124279 B  Δrx=2096427 B
  R-R p3_a5:p3_a5-eth2  Δtx=2096427 B  Δrx=2124279 B
  R-R p3_e2:p3_e2-eth6  Δtx=2108361 B  Δrx=2096055 B
  R-R p3_a6:p3_a6-eth2  Δtx=2096055 B  Δrx=2108361 B
  R-R p3_e2:p3_e2-eth7  Δtx=4192276 B  Δrx=2137919 B
  R-R p3_a7:p3_a7-eth2  Δtx=2137919 B  Δrx=4192276 B
  R-R p3_e3:p3_e3-eth4  Δtx=138 B  Δrx=138 B
  R-R p3_a4:p3_a4-eth3  Δtx=138 B  Δrx=138 B
  R-R p3_e3:p3_e3-eth5  Δtx=2093301 B  Δrx=6303141 B
  R-R p3_a5:p3_a5-eth3  Δtx=6303141 B  Δrx=2093301 B
  R-R p3_e3:p3_e3-eth6  Δtx=37092 B  Δrx=2103161 B
  R-R p3_a6:p3_a6-eth3  Δtx=2103161 B  Δrx=37092 B
  R-R p3_e3:p3_e3-eth7  Δtx=6295385 B  Δrx=23872 B
  R-R p3_a7:p3_a7-eth3  Δtx=23872 B  Δrx=6295385 B
  R-R p4_e0:p4_e0-eth4  Δtx=2095657 B  Δrx=2124975 B
  R-R p4_a4:p4_a4-eth0  Δtx=2124975 B  Δrx=2095657 B
  R-R p4_e0:p4_e0-eth5  Δtx=2097665 B  Δrx=2122455 B
  R-R p4_a5:p4_a5-eth0  Δtx=2122455 B  Δrx=2097665 B
  R-R p4_e0:p4_e0-eth6  Δtx=4233650 B  Δrx=2095809 B
  R-R p4_a6:p4_a6-eth0  Δtx=2095809 B  Δrx=4233650 B
  R-R p4_e0:p4_e0-eth7  Δtx=13622 B  Δrx=2095249 B
  R-R p4_a7:p4_a7-eth0  Δtx=2095249 B  Δrx=13622 B
  R-R p4_e1:p4_e1-eth4  Δtx=2107887 B  Δrx=2108361 B
  R-R p4_a4:p4_a4-eth1  Δtx=2108361 B  Δrx=2107887 B
  R-R p4_e1:p4_e1-eth5  Δtx=2094205 B  Δrx=13238 B
  R-R p4_a5:p4_a5-eth1  Δtx=13238 B  Δrx=2094205 B
  R-R p4_e1:p4_e1-eth6  Δtx=26356 B  Δrx=2108881 B
  R-R p4_a6:p4_a6-eth1  Δtx=2108881 B  Δrx=26356 B
  R-R p4_e1:p4_e1-eth7  Δtx=4202980 B  Δrx=4201340 B
  R-R p4_a7:p4_a7-eth1  Δtx=4201340 B  Δrx=4202980 B
  R-R p4_e2:p4_e2-eth4  Δtx=4207594 B  Δrx=26896 B
  R-R p4_a4:p4_a4-eth2  Δtx=26896 B  Δrx=4207594 B
  R-R p4_e2:p4_e2-eth5  Δtx=2095009 B  Δrx=2097191 B
  R-R p4_a5:p4_a5-eth2  Δtx=2097191 B  Δrx=2095009 B
  R-R p4_e2:p4_e2-eth6  Δtx=212 B  Δrx=2122973 B
  R-R p4_a6:p4_a6-eth2  Δtx=2122973 B  Δrx=212 B
  R-R p4_e2:p4_e2-eth7  Δtx=2137841 B  Δrx=4192222 B
  R-R p4_a7:p4_a7-eth2  Δtx=4192222 B  Δrx=2137841 B
  R-R p4_e3:p4_e3-eth4  Δtx=2099233 B  Δrx=26764 B
  R-R p4_a4:p4_a4-eth3  Δtx=26764 B  Δrx=2099233 B
  R-R p4_e3:p4_e3-eth5  Δtx=13490 B  Δrx=2093343 B
  R-R p4_a5:p4_a5-eth3  Δtx=2093343 B  Δrx=13490 B
  R-R p4_e3:p4_e3-eth6  Δtx=2106249 B  Δrx=11972 B
  R-R p4_a6:p4_a6-eth3  Δtx=11972 B  Δrx=2106249 B
  R-R p4_e3:p4_e3-eth7  Δtx=4214028 B  Δrx=6297641 B
  R-R p4_a7:p4_a7-eth3  Δtx=6297641 B  Δrx=4214028 B
  R-R p5_e0:p5_e0-eth4  Δtx=2125965 B  Δrx=2095603 B
  R-R p5_a4:p5_a4-eth0  Δtx=2095603 B  Δrx=2125965 B
  R-R p5_e0:p5_e0-eth5  Δtx=2123103 B  Δrx=2097665 B
  R-R p5_a5:p5_a5-eth0  Δtx=2097665 B  Δrx=2123103 B
  R-R p5_e0:p5_e0-eth6  Δtx=4191510 B  Δrx=4220892 B
  R-R p5_a6:p5_a6-eth0  Δtx=4220892 B  Δrx=4191510 B
  R-R p5_e0:p5_e0-eth7  Δtx=42 B  Δrx=27184 B
  R-R p5_a7:p5_a7-eth0  Δtx=27184 B  Δrx=42 B
  R-R p5_e1:p5_e1-eth4  Δtx=12206 B  Δrx=2109825 B
  R-R p5_a4:p5_a4-eth1  Δtx=2109825 B  Δrx=12206 B
  R-R p5_e1:p5_e1-eth5  Δtx=4205226 B  Δrx=2120567 B
  R-R p5_a5:p5_a5-eth1  Δtx=2120567 B  Δrx=4205226 B
  R-R p5_e1:p5_e1-eth6  Δtx=2108625 B  Δrx=14228 B
  R-R p5_a6:p5_a6-eth1  Δtx=14228 B  Δrx=2108625 B
  R-R p5_e1:p5_e1-eth7  Δtx=2106885 B  Δrx=4190630 B
  R-R p5_a7:p5_a7-eth1  Δtx=4190630 B  Δrx=2106885 B
  R-R p5_e2:p5_e2-eth4  Δtx=2122093 B  Δrx=4208530 B
  R-R p5_a4:p5_a4-eth2  Δtx=4208530 B  Δrx=2122093 B
