  R-R p0_e0:p0_e0-eth4  Δtx=8378338 B  Δrx=17312 B
  R-R p0_a4:p0_a4-eth0  Δtx=17312 B  Δrx=8378338 B
  R-R p0_e0:p0_e0-eth5  Δtx=4196741 B  Δrx=8358256 B
  R-R p0_a5:p0_a5-eth0  Δtx=8358256 B  Δrx=4196741 B
  R-R p0_e0:p0_e0-eth6  Δtx=4196593 B  Δrx=4213707 B
  R-R p0_a6:p0_a6-eth0  Δtx=4213707 B  Δrx=4196593 B
  R-R p0_e0:p0_e0-eth7  Δtx=16516 B  Δrx=4196083 B
  R-R p0_a7:p0_a7-eth0  Δtx=4196083 B  Δrx=16516 B
  R-R p0_e1:p0_e1-eth4  Δtx=4225883 B  Δrx=16076 B
  R-R p0_a4:p0_a4-eth1  Δtx=16076 B  Δrx=4225883 B
  R-R p0_e1:p0_e1-eth5  Δtx=8356354 B  Δrx=30106 B
  R-R p0_a5:p0_a5-eth1  Δtx=30106 B  Δrx=8356354 B
  R-R p0_e1:p0_e1-eth6  Δtx=4195837 B  Δrx=8357386 B
  R-R p0_a6:p0_a6-eth1  Δtx=8357386 B  Δrx=4195837 B
  R-R p0_e1:p0_e1-eth7  Δtx=232 B  Δrx=8373694 B
  R-R p0_a7:p0_a7-eth1  Δtx=8373694 B  Δrx=232 B
  R-R p0_e2:p0_e2-eth4  Δtx=4226489 B  Δrx=4193621 B
  R-R p0_a4:p0_a4-eth2  Δtx=4193621 B  Δrx=4226489 B
  R-R p0_e2:p0_e2-eth5  Δtx=4178995 B  Δrx=8372508 B
  R-R p0_a5:p0_a5-eth2  Δtx=8372508 B  Δrx=4178995 B
  R-R p0_e2:p0_e2-eth6  Δtx=15668 B  Δrx=15420 B
  R-R p0_a6:p0_a6-eth2  Δtx=15420 B  Δrx=15668 B
  R-R p0_e2:p0_e2-eth7  Δtx=8356108 B  Δrx=4195375 B
  R-R p0_a7:p0_a7-eth2  Δtx=4195375 B  Δrx=8356108 B
  R-R p0_e3:p0_e3-eth4  Δtx=4178009 B  Δrx=170 B
  R-R p0_a4:p0_a4-eth3  Δtx=170 B  Δrx=4178009 B
  R-R p0_e3:p0_e3-eth5  Δtx=4224327 B  Δrx=8386518 B
  R-R p0_a5:p0_a5-eth3  Δtx=8386518 B  Δrx=4224327 B
  R-R p0_e3:p0_e3-eth6  Δtx=8373030 B  Δrx=16162 B
  R-R p0_a6:p0_a6-eth3  Δtx=16162 B  Δrx=8373030 B
  R-R p0_e3:p0_e3-eth7  Δtx=224 B  Δrx=8374032 B
  R-R p0_a7:p0_a7-eth3  Δtx=8374032 B  Δrx=224 B
  R-R p1_e0:p1_e0-eth4  Δtx=17396 B  Δrx=8377918 B
  R-R p1_a4:p1_a4-eth0  Δtx=8377918 B  Δrx=17396 B
  R-R p1_e0:p1_e0-eth5  Δtx=8353424 B  Δrx=4192493 B
  R-R p1_a5:p1_a5-eth0  Δtx=4192493 B  Δrx=8353424 B
  R-R p1_e0:p1_e0-eth6  Δtx=4213215 B  Δrx=4196503 B
  R-R p1_a6:p1_a6-eth0  Δtx=4196503 B  Δrx=4213215 B
  R-R p1_e0:p1_e0-eth7  Δtx=4198811 B  Δrx=15160 B
  R-R p1_a7:p1_a7-eth0  Δtx=15160 B  Δrx=4198811 B
  R-R p1_e1:p1_e1-eth4  Δtx=4195659 B  Δrx=4191439 B
  R-R p1_a4:p1_a4-eth1  Δtx=4191439 B  Δrx=4195659 B
  R-R p1_e1:p1_e1-eth5  Δtx=8384056 B  Δrx=8372712 B
  R-R p1_a5:p1_a5-eth1  Δtx=8372712 B  Δrx=8384056 B
  R-R p1_e1:p1_e1-eth6  Δtx=4180327 B  Δrx=4194859 B
  R-R p1_a6:p1_a6-eth1  Δtx=4194859 B  Δrx=4180327 B
  R-R p1_e1:p1_e1-eth7  Δtx=16262 B  Δrx=14286 B
  R-R p1_a7:p1_a7-eth1  Δtx=14286 B  Δrx=16262 B
  R-R p1_e2:p1_e2-eth4  Δtx=14776 B  Δrx=4207923 B
  R-R p1_a4:p1_a4-eth2  Δtx=4207923 B  Δrx=14776 B
  R-R p1_e2:p1_e2-eth5  Δtx=8372384 B  Δrx=4196175 B
  R-R p1_a5:p1_a5-eth2  Δtx=4196175 B  Δrx=8372384 B
  R-R p1_e2:p1_e2-eth6  Δtx=4194257 B  Δrx=16514 B
  R-R p1_a6:p1_a6-eth2  Δtx=16514 B  Δrx=4194257 B
  R-R p1_e2:p1_e2-eth7  Δtx=4194913 B  Δrx=8356054 B
  R-R p1_a7:p1_a7-eth2  Δtx=8356054 B  Δrx=4194913 B
  R-R p1_e3:p1_e3-eth4  Δtx=170 B  Δrx=4177955 B
  R-R p1_a4:p1_a4-eth3  Δtx=4177955 B  Δrx=170 B
  R-R p1_e3:p1_e3-eth5  Δtx=12561363 B  Δrx=4190267 B
  R-R p1_a5:p1_a5-eth3  Δtx=4190267 B  Δrx=12561363 B
  R-R p1_e3:p1_e3-eth6  Δtx=16162 B  Δrx=8371278 B
  R-R p1_a6:p1_a6-eth3  Δtx=8371278 B  Δrx=16162 B
  R-R p1_e3:p1_e3-eth7  Δtx=4195805 B  Δrx=30954 B
  R-R p1_a7:p1_a7-eth3  Δtx=30954 B  Δrx=4195805 B
  R-R p2_e0:p2_e0-eth4  Δtx=4194883 B  Δrx=33640 B
  R-R p2_a4:p2_a4-eth0  Δtx=33640 B  Δrx=4194883 B
  R-R p2_e0:p2_e0-eth5  Δtx=4193865 B  Δrx=8353370 B
  R-R p2_a5:p2_a5-eth0  Δtx=8353370 B  Δrx=4193865 B
  R-R p2_e0:p2_e0-eth6  Δtx=4196261 B  Δrx=4195465 B
  R-R p2_a6:p2_a6-eth0  Δtx=4195465 B  Δrx=4196261 B
  R-R p2_e0:p2_e0-eth7  Δtx=4194337 B  Δrx=4198151 B
  R-R p2_a7:p2_a7-eth0  Δtx=4198151 B  Δrx=4194337 B
  R-R p2_e1:p2_e1-eth4  Δtx=4194465 B  Δrx=4179721 B
  R-R p2_a4:p2_a4-eth1  Δtx=4179721 B  Δrx=4194465 B
  R-R p2_e1:p2_e1-eth5  Δtx=4198291 B  Δrx=8370476 B
  R-R p2_a5:p2_a5-eth1  Δtx=8370476 B  Δrx=4198291 B
  R-R p2_e1:p2_e1-eth6  Δtx=4195271 B  Δrx=4230019 B
  R-R p2_a6:p2_a6-eth1  Δtx=4230019 B  Δrx=4195271 B
  R-R p2_e1:p2_e1-eth7  Δtx=4193367 B  Δrx=138 B
  R-R p2_a7:p2_a7-eth1  Δtx=138 B  Δrx=4193367 B
  R-R p2_e2:p2_e2-eth4  Δtx=30316 B  Δrx=15964 B
  R-R p2_a4:p2_a4-eth2  Δtx=15964 B  Δrx=30316 B
  R-R p2_e2:p2_e2-eth5  Δtx=4196167 B  Δrx=8375102 B
  R-R p2_a5:p2_a5-eth2  Δtx=8375102 B  Δrx=4196167 B
  R-R p2_e2:p2_e2-eth6  Δtx=8377510 B  Δrx=4194797 B
  R-R p2_a6:p2_a6-eth2  Δtx=4194797 B  Δrx=8377510 B
  R-R p2_e2:p2_e2-eth7  Δtx=4179047 B  Δrx=4194781 B
  R-R p2_a7:p2_a7-eth2  Δtx=4194781 B  Δrx=4179047 B
  R-R p2_e3:p2_e3-eth4  Δtx=158 B  Δrx=158 B
  R-R p2_a4:p2_a4-eth3  Δtx=158 B  Δrx=158 B
  R-R p2_e3:p2_e3-eth5  Δtx=4189855 B  Δrx=12547927 B
  R-R p2_a5:p2_a5-eth3  Δtx=12547927 B  Δrx=4189855 B
  R-R p2_e3:p2_e3-eth6  Δtx=8373268 B  Δrx=14224 B
  R-R p2_a6:p2_a6-eth3  Δtx=14224 B  Δrx=8373268 B
  R-R p2_e3:p2_e3-eth7  Δtx=4210373 B  Δrx=4212103 B
  R-R p2_a7:p2_a7-eth3  Δtx=4212103 B  Δrx=4210373 B
  R-R p3_e0:p3_e0-eth4  Δtx=4212999 B  Δrx=4212315 B
  R-R p3_a4:p3_a4-eth0  Δtx=4212315 B  Δrx=4212999 B
  R-R p3_e0:p3_e0-eth5  Δtx=8358694 B  Δrx=4214531 B
  R-R p3_a5:p3_a5-eth0  Δtx=4214531 B  Δrx=8358694 B
  R-R p3_e0:p3_e0-eth6  Δtx=16670 B  Δrx=4179201 B
  R-R p3_a6:p3_a6-eth0  Δtx=4179201 B  Δrx=16670 B
  R-R p3_e0:p3_e0-eth7  Δtx=4196035 B  Δrx=4179335 B
  R-R p3_a7:p3_a7-eth0  Δtx=4179335 B  Δrx=4196035 B
  R-R p3_e1:p3_e1-eth4  Δtx=212 B  Δrx=4228843 B
  R-R p3_a4:p3_a4-eth1  Δtx=4228843 B  Δrx=212 B
  R-R p3_e1:p3_e1-eth5  Δtx=12552015 B  Δrx=4181837 B
  R-R p3_a5:p3_a5-eth1  Δtx=4181837 B  Δrx=12552015 B
  R-R p3_e1:p3_e1-eth6  Δtx=49808 B  Δrx=4195205 B
  R-R p3_a6:p3_a6-eth1  Δtx=4195205 B  Δrx=49808 B
  R-R p3_e1:p3_e1-eth7  Δtx=4180197 B  Δrx=4179271 B
  R-R p3_a7:p3_a7-eth1  Δtx=4179271 B  Δrx=4180197 B
  R-R p3_e2:p3_e2-eth4  Δtx=8372508 B  Δrx=18176 B
  R-R p3_a4:p3_a4-eth2  Δtx=18176 B  Δrx=8372508 B
  R-R p3_e2:p3_e2-eth5  Δtx=19194 B  Δrx=4195075 B
  R-R p3_a5:p3_a5-eth2  Δtx=4195075 B  Δrx=19194 B
  R-R p3_e2:p3_e2-eth6  Δtx=15854 B  Δrx=8361230 B
  R-R p3_a6:p3_a6-eth2  Δtx=8361230 B  Δrx=15854 B
  R-R p3_e2:p3_e2-eth7  Δtx=8379536 B  Δrx=4212879 B
  R-R p3_a7:p3_a7-eth2  Δtx=4212879 B  Δrx=8379536 B
  R-R p3_e3:p3_e3-eth4  Δtx=4175117 B  Δrx=116 B
  R-R p3_a4:p3_a4-eth3  Δtx=116 B  Δrx=4175117 B
  R-R p3_e3:p3_e3-eth5  Δtx=8373834 B  Δrx=4206735 B
  R-R p3_a5:p3_a5-eth3  Δtx=4206735 B  Δrx=8373834 B
  R-R p3_e3:p3_e3-eth6  Δtx=4194603 B  Δrx=8374594 B
  R-R p3_a6:p3_a6-eth3  Δtx=8374594 B  Δrx=4194603 B
  R-R p3_e3:p3_e3-eth7  Δtx=32464 B  Δrx=4195845 B
  R-R p3_a7:p3_a7-eth3  Δtx=4195845 B  Δrx=32464 B
  R-R p4_e0:p4_e0-eth4  Δtx=34014 B  Δrx=4213581 B
  R-R p4_a4:p4_a4-eth0  Δtx=4213581 B  Δrx=34014 B
  R-R p4_e0:p4_e0-eth5  Δtx=33768 B  Δrx=8375706 B
  R-R p4_a5:p4_a5-eth0  Δtx=8375706 B  Δrx=33768 B
  R-R p4_e0:p4_e0-eth6  Δtx=8358318 B  Δrx=17198 B
  R-R p4_a6:p4_a6-eth0  Δtx=17198 B  Δrx=8358318 B
  R-R p4_e0:p4_e0-eth7  Δtx=8357922 B  Δrx=4178867 B
  R-R p4_a7:p4_a7-eth0  Δtx=4178867 B  Δrx=8357922 B
  R-R p4_e1:p4_e1-eth4  Δtx=8408774 B  Δrx=33870 B
  R-R p4_a4:p4_a4-eth1  Δtx=33870 B  Δrx=8408774 B
  R-R p4_e1:p4_e1-eth5  Δtx=158 B  Δrx=12568961 B
  R-R p4_a5:p4_a5-eth1  Δtx=12568961 B  Δrx=158 B
  R-R p4_e1:p4_e1-eth6  Δtx=16204 B  Δrx=212 B
