  R-R p0_e0:p0_e0-eth4  Δtx=24055 B  Δrx=13277 B
  R-R p0_a4:p0_a4-eth0  Δtx=13277 B  Δrx=24055 B
  R-R p0_e0:p0_e0-eth5  Δtx=41194 B  Δrx=24379 B
  R-R p0_a5:p0_a5-eth0  Δtx=24379 B  Δrx=41194 B
  R-R p0_e0:p0_e0-eth6  Δtx=13773 B  Δrx=17369 B
  R-R p0_a6:p0_a6-eth0  Δtx=17369 B  Δrx=13773 B
  R-R p0_e0:p0_e0-eth7  Δtx=4904 B  Δrx=23189 B
  R-R p0_a7:p0_a7-eth0  Δtx=23189 B  Δrx=4904 B
  R-R p0_e1:p0_e1-eth4  Δtx=37874 B  Δrx=37326 B
  R-R p0_a4:p0_a4-eth1  Δtx=37326 B  Δrx=37874 B
  R-R p0_e1:p0_e1-eth5  Δtx=42 B  Δrx=3762 B
  R-R p0_a5:p0_a5-eth1  Δtx=3762 B  Δrx=42 B
  R-R p0_e1:p0_e1-eth6  Δtx=40266 B  Δrx=8382 B
  R-R p0_a6:p0_a6-eth1  Δtx=8382 B  Δrx=40266 B
  R-R p0_e1:p0_e1-eth7  Δtx=150 B  Δrx=29938 B
  R-R p0_a7:p0_a7-eth1  Δtx=29938 B  Δrx=150 B
  R-R p0_e2:p0_e2-eth4  Δtx=20975 B  Δrx=39148 B
  R-R p0_a4:p0_a4-eth2  Δtx=39148 B  Δrx=20975 B
  R-R p0_e2:p0_e2-eth5  Δtx=19395 B  Δrx=17403 B
  R-R p0_a5:p0_a5-eth2  Δtx=17403 B  Δrx=19395 B
  R-R p0_e2:p0_e2-eth6  Δtx=20559 B  Δrx=116 B
  R-R p0_a6:p0_a6-eth2  Δtx=116 B  Δrx=20559 B
  R-R p0_e2:p0_e2-eth7  Δtx=16117 B  Δrx=20661 B
  R-R p0_a7:p0_a7-eth2  Δtx=20661 B  Δrx=16117 B
  R-R p0_e3:p0_e3-eth4  Δtx=21949 B  Δrx=13423 B
  R-R p0_a4:p0_a4-eth3  Δtx=13423 B  Δrx=21949 B
  R-R p0_e3:p0_e3-eth5  Δtx=5318 B  Δrx=11464 B
  R-R p0_a5:p0_a5-eth3  Δtx=11464 B  Δrx=5318 B
  R-R p0_e3:p0_e3-eth6  Δtx=17837 B  Δrx=21413 B
  R-R p0_a6:p0_a6-eth3  Δtx=21413 B  Δrx=17837 B
  R-R p0_e3:p0_e3-eth7  Δtx=35296 B  Δrx=30710 B
  R-R p0_a7:p0_a7-eth3  Δtx=30710 B  Δrx=35296 B
  R-R p1_e0:p1_e0-eth4  Δtx=18261 B  Δrx=25243 B
  R-R p1_a4:p1_a4-eth0  Δtx=25243 B  Δrx=18261 B
  R-R p1_e0:p1_e0-eth5  Δtx=23645 B  Δrx=40630 B
  R-R p1_a5:p1_a5-eth0  Δtx=40630 B  Δrx=23645 B
  R-R p1_e0:p1_e0-eth6  Δtx=17667 B  Δrx=13815 B
  R-R p1_a6:p1_a6-eth0  Δtx=13815 B  Δrx=17667 B
  R-R p1_e0:p1_e0-eth7  Δtx=23025 B  Δrx=4028 B
  R-R p1_a7:p1_a7-eth0  Δtx=4028 B  Δrx=23025 B
  R-R p1_e1:p1_e1-eth4  Δtx=3776 B  Δrx=33804 B
  R-R p1_a4:p1_a4-eth1  Δtx=33804 B  Δrx=3776 B
  R-R p1_e1:p1_e1-eth5  Δtx=20455 B  Δrx=6250 B
  R-R p1_a5:p1_a5-eth1  Δtx=6250 B  Δrx=20455 B
  R-R p1_e1:p1_e1-eth6  Δtx=25413 B  Δrx=36406 B
  R-R p1_a6:p1_a6-eth1  Δtx=36406 B  Δrx=25413 B
  R-R p1_e1:p1_e1-eth7  Δtx=29378 B  Δrx=138 B
  R-R p1_a7:p1_a7-eth1  Δtx=138 B  Δrx=29378 B
  R-R p1_e2:p1_e2-eth4  Δtx=24361 B  Δrx=14281 B
  R-R p1_a4:p1_a4-eth2  Δtx=14281 B  Δrx=24361 B
  R-R p1_e2:p1_e2-eth5  Δtx=158 B  Δrx=18435 B
  R-R p1_a5:p1_a5-eth2  Δtx=18435 B  Δrx=158 B
  R-R p1_e2:p1_e2-eth6  Δtx=35168 B  Δrx=20613 B
  R-R p1_a6:p1_a6-eth2  Δtx=20613 B  Δrx=35168 B
  R-R p1_e2:p1_e2-eth7  Δtx=19721 B  Δrx=23441 B
  R-R p1_a7:p1_a7-eth2  Δtx=23441 B  Δrx=19721 B
  R-R p1_e3:p1_e3-eth4  Δtx=18835 B  Δrx=16599 B
  R-R p1_a4:p1_a4-eth3  Δtx=16599 B  Δrx=18835 B
  R-R p1_e3:p1_e3-eth5  Δtx=43052 B  Δrx=2270 B
  R-R p1_a5:p1_a5-eth3  Δtx=2270 B  Δrx=43052 B
  R-R p1_e3:p1_e3-eth6  Δtx=3326 B  Δrx=22605 B
  R-R p1_a6:p1_a6-eth3  Δtx=22605 B  Δrx=3326 B
  R-R p1_e3:p1_e3-eth7  Δtx=11723 B  Δrx=35152 B
  R-R p1_a7:p1_a7-eth3  Δtx=35152 B  Δrx=11723 B
  R-R p2_e0:p2_e0-eth4  Δtx=24137 B  Δrx=20117 B
  R-R p2_a4:p2_a4-eth0  Δtx=20117 B  Δrx=24137 B
  R-R p2_e0:p2_e0-eth5  Δtx=18145 B  Δrx=19869 B
  R-R p2_a5:p2_a5-eth0  Δtx=19869 B  Δrx=18145 B
  R-R p2_e0:p2_e0-eth6  Δtx=16579 B  Δrx=20921 B
  R-R p2_a6:p2_a6-eth0  Δtx=20921 B  Δrx=16579 B
  R-R p2_e0:p2_e0-eth7  Δtx=20299 B  Δrx=19453 B
  R-R p2_a7:p2_a7-eth0  Δtx=19453 B  Δrx=20299 B
  R-R p2_e1:p2_e1-eth4  Δtx=3882 B  Δrx=42 B
  R-R p2_a4:p2_a4-eth1  Δtx=42 B  Δrx=3882 B
  R-R p2_e1:p2_e1-eth5  Δtx=20567 B  Δrx=20785 B
  R-R p2_a5:p2_a5-eth1  Δtx=20785 B  Δrx=20567 B
  R-R p2_e1:p2_e1-eth6  Δtx=3730 B  Δrx=29025 B
  R-R p2_a6:p2_a6-eth1  Δtx=29025 B  Δrx=3730 B
  R-R p2_e1:p2_e1-eth7  Δtx=51659 B  Δrx=33238 B
  R-R p2_a7:p2_a7-eth1  Δtx=33238 B  Δrx=51659 B
  R-R p2_e2:p2_e2-eth4  Δtx=34670 B  Δrx=14755 B
  R-R p2_a4:p2_a4-eth2  Δtx=14755 B  Δrx=34670 B
  R-R p2_e2:p2_e2-eth5  Δtx=20225 B  Δrx=3280 B
  R-R p2_a5:p2_a5-eth2  Δtx=3280 B  Δrx=20225 B
  R-R p2_e2:p2_e2-eth6  Δtx=2798 B  Δrx=41310 B
  R-R p2_a6:p2_a6-eth2  Δtx=41310 B  Δrx=2798 B
