  R-R p2_a6:p2_a6-eth1  Δtx=2068220 B  Δrx=12500 B
  R-R p2_e1:p2_e1-eth7  Δtx=1039011 B  Δrx=212 B
  R-R p2_a7:p2_a7-eth1  Δtx=212 B  Δrx=1039011 B
  R-R p2_e2:p2_e2-eth4  Δtx=2077294 B  Δrx=1029293 B
  R-R p2_a4:p2_a4-eth2  Δtx=1029293 B  Δrx=2077294 B
  R-R p2_e2:p2_e2-eth5  Δtx=1029419 B  Δrx=11378 B
  R-R p2_a5:p2_a5-eth2  Δtx=11378 B  Δrx=1029419 B
  R-R p2_e2:p2_e2-eth6  Δtx=1042743 B  Δrx=2070198 B
  R-R p2_a6:p2_a6-eth2  Δtx=2070198 B  Δrx=1042743 B
  R-R p2_e2:p2_e2-eth7  Δtx=10342 B  Δrx=1047941 B
  R-R p2_a7:p2_a7-eth2  Δtx=1047941 B  Δrx=10342 B
  R-R p2_e3:p2_e3-eth4  Δtx=1042179 B  Δrx=1054269 B
  R-R p2_a4:p2_a4-eth3  Δtx=1054269 B  Δrx=1042179 B
  R-R p2_e3:p2_e3-eth5  Δtx=138 B  Δrx=14026 B
  R-R p2_a5:p2_a5-eth3  Δtx=14026 B  Δrx=138 B
  R-R p2_e3:p2_e3-eth6  Δtx=23926 B  Δrx=1029511 B
  R-R p2_a6:p2_a6-eth3  Δtx=1029511 B  Δrx=23926 B
  R-R p2_e3:p2_e3-eth7  Δtx=3102867 B  Δrx=2071004 B
  R-R p2_a7:p2_a7-eth3  Δtx=2071004 B  Δrx=3102867 B
  R-R p3_e0:p3_e0-eth4  Δtx=158 B  Δrx=12500 B
  R-R p3_a4:p3_a4-eth0  Δtx=12500 B  Δrx=158 B
  R-R p3_e0:p3_e0-eth5  Δtx=2074880 B  Δrx=2059924 B
  R-R p3_a5:p3_a5-eth0  Δtx=2059924 B  Δrx=2074880 B
  R-R p3_e0:p3_e0-eth6  Δtx=2072666 B  Δrx=2085012 B
  R-R p3_a6:p3_a6-eth0  Δtx=2085012 B  Δrx=2072666 B
  R-R p3_e0:p3_e0-eth7  Δtx=22984 B  Δrx=13492 B
  R-R p3_a7:p3_a7-eth0  Δtx=13492 B  Δrx=22984 B
  R-R p3_e1:p3_e1-eth4  Δtx=3089125 B  Δrx=2060538 B
  R-R p3_a4:p3_a4-eth1  Δtx=2060538 B  Δrx=3089125 B
  R-R p3_e1:p3_e1-eth5  Δtx=1063937 B  Δrx=1040689 B
  R-R p3_a5:p3_a5-eth1  Δtx=1040689 B  Δrx=1063937 B
  R-R p3_e1:p3_e1-eth6  Δtx=10684 B  Δrx=21442 B
  R-R p3_a6:p3_a6-eth1  Δtx=21442 B  Δrx=10684 B
  R-R p3_e1:p3_e1-eth7  Δtx=138 B  Δrx=1041717 B
  R-R p3_a7:p3_a7-eth1  Δtx=1041717 B  Δrx=138 B
  R-R p3_e2:p3_e2-eth4  Δtx=2057800 B  Δrx=2057202 B
  R-R p3_a4:p3_a4-eth2  Δtx=2057202 B  Δrx=2057800 B
  R-R p3_e2:p3_e2-eth5  Δtx=11378 B  Δrx=1052409 B
  R-R p3_a5:p3_a5-eth2  Δtx=1052409 B  Δrx=11378 B
  R-R p3_e2:p3_e2-eth6  Δtx=1044891 B  Δrx=1030711 B
  R-R p3_a6:p3_a6-eth2  Δtx=1030711 B  Δrx=1044891 B
  R-R p3_e2:p3_e2-eth7  Δtx=1051899 B  Δrx=21216 B
  R-R p3_a7:p3_a7-eth2  Δtx=21216 B  Δrx=1051899 B
  R-R p3_e3:p3_e3-eth4  Δtx=1054763 B  Δrx=1042917 B
  R-R p3_a4:p3_a4-eth3  Δtx=1042917 B  Δrx=1054763 B
  R-R p3_e3:p3_e3-eth5  Δtx=3100853 B  Δrx=23674 B
  R-R p3_a5:p3_a5-eth3  Δtx=23674 B  Δrx=3100853 B
  R-R p3_e3:p3_e3-eth6  Δtx=0 B  Δrx=0 B
  R-R p3_a6:p3_a6-eth3  Δtx=0 B  Δrx=0 B
  R-R p3_e3:p3_e3-eth7  Δtx=12264 B  Δrx=3101337 B
  R-R p3_a7:p3_a7-eth3  Δtx=3101337 B  Δrx=12264 B
  R-R p4_e0:p4_e0-eth4  Δtx=3105461 B  Δrx=13048 B
  R-R p4_a4:p4_a4-eth0  Δtx=13048 B  Δrx=3105461 B
  R-R p4_e0:p4_e0-eth5  Δtx=190 B  Δrx=2085748 B
  R-R p4_a5:p4_a5-eth0  Δtx=2085748 B  Δrx=190 B
  R-R p4_e0:p4_e0-eth6  Δtx=1053807 B  Δrx=2071016 B
  R-R p4_a6:p4_a6-eth0  Δtx=2071016 B  Δrx=1053807 B
  R-R p4_e0:p4_e0-eth7  Δtx=13534 B  Δrx=138 B
  R-R p4_a7:p4_a7-eth0  Δtx=138 B  Δrx=13534 B
  R-R p4_e1:p4_e1-eth4  Δtx=2061286 B  Δrx=3099483 B
  R-R p4_a4:p4_a4-eth1  Δtx=3099483 B  Δrx=2061286 B
  R-R p4_e1:p4_e1-eth5  Δtx=1041291 B  Δrx=1031075 B
  R-R p4_a5:p4_a5-eth1  Δtx=1031075 B  Δrx=1041291 B
  R-R p4_e1:p4_e1-eth6  Δtx=21516 B  Δrx=35582 B
  R-R p4_a6:p4_a6-eth1  Δtx=35582 B  Δrx=21516 B
  R-R p4_e1:p4_e1-eth7  Δtx=1042401 B  Δrx=42 B
  R-R p4_a7:p4_a7-eth1  Δtx=42 B  Δrx=1042401 B
  R-R p4_e2:p4_e2-eth4  Δtx=4117612 B  Δrx=2078684 B
  R-R p4_a4:p4_a4-eth2  Δtx=2078684 B  Δrx=4117612 B
  R-R p4_e2:p4_e2-eth5  Δtx=23202 B  Δrx=13304 B
  R-R p4_a5:p4_a5-eth2  Δtx=13304 B  Δrx=23202 B
  R-R p4_e2:p4_e2-eth6  Δtx=158 B  Δrx=1043031 B
  R-R p4_a6:p4_a6-eth2  Δtx=1043031 B  Δrx=158 B
  R-R p4_e2:p4_e2-eth7  Δtx=21142 B  Δrx=1031993 B
  R-R p4_a7:p4_a7-eth2  Δtx=1031993 B  Δrx=21142 B
  R-R p4_e3:p4_e3-eth4  Δtx=1042689 B  Δrx=1043499 B
  R-R p4_a4:p4_a4-eth3  Δtx=1043499 B  Δrx=1042689 B
  R-R p4_e3:p4_e3-eth5  Δtx=1053411 B  Δrx=3097697 B
  R-R p4_a5:p4_a5-eth3  Δtx=3097697 B  Δrx=1053411 B
  R-R p4_e3:p4_e3-eth6  Δtx=2060610 B  Δrx=23830 B
  R-R p4_a6:p4_a6-eth3  Δtx=23830 B  Δrx=2060610 B
